[('comparison', 'NN')] 
[('commonly', 'RB')] 
[('usedplastics', 'NNS')] 
[('', 'NN')] 
[('acrylic', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('complicated', 'VBN')] 
[('system', 'NN')] 
[('examined', 'VBN')] 
[('using', 'VBG')] 
[('bovine', 'NN')] 
[('femora', 'NNS')] 
[('substitute', 'NN')] 
[('human', 'NN')] 
[('cortical', 'JJ')] 
[('bone', 'NN')] 
[('', 'NN')] 
[('baseline', 'NN')] 
[('measurements', 'NNS')] 
[('', 'NN')] 
[('representing', 'VBG')] 
[('intact', 'JJ')] 
[('bone', 'NN')] 
[('', 'NN')] 
[('relative', 'NN')] 
[('changes', 'NNS')] 
[('attenuation', 'NN')] 
[('values', 'NNS')] 
[('aresult', 'NN')] 
[('fracture', 'NN')] 
[('investigated', 'VBN')] 
[('', 'NN')] 
[('methods', 'NNS')] 
[('materials', 'NNS')] 
[('experiments', 'NNS')] 
[('using', 'VBG')] 
[('axial', 'JJ')] 
[('transmission', 'NN')] 
[('techniques', 'NNS')] 
[('', 'NN')] 
[('waves', 'NNS')] 
[('propagating', 'VBG')] 
[('along', 'IN')] 
[('plate', 'NN')] 
[('reduce', 'VB')] 
[('amplitude', 'NN')] 
[('result', 'NN')] 
[('attenuation', 'NN')] 
[('material', 'NN')] 
[('proportion', 'NN')] 
[('wave', 'NN')] 
[('energy', 'NN')] 
[('leaking', 'VBG')] 
[('fluid', 'NN')] 
[('surrounding', 'VBG')] 
[('plate', 'NN')] 
[('', 'NN')] 
[('also', 'RB')] 
[('known', 'VBN')] 
[('reradiation', 'NN')] 
[('', 'NN')] 
[('reradiatedwaves', 'NNS')] 
[('', 'NN')] 
[('detected', 'VBN')] 
[('receiving', 'VBG')] 
[('ultrasound', 'NN')] 
[('transducer', 'NN')] 
[('', 'NN')] 
[('reduce', 'VB')] 
[('amplitude', 'NN')] 
[('withdistance', 'NN')] 
[('', 'NN')] 
[('measurements', 'NNS')] 
[('amplitude', 'NN')] 
[('propagation', 'NN')] 
[('distance', 'NN')] 
[('used', 'VBN')] 
[('evaluate', 'NN')] 
[('effective', 'JJ')] 
[('attenuation', 'NN')] 
[('ultrasound', 'NN')] 
[('along', 'IN')] 
[('plate', 'NN')] 
[('', 'NN')] 
[('addition', 'NN')] 
[('', 'NN')] 
[('discontinuity', 'NN')] 
[('plate', 'NN')] 
[('', 'NN')] 
[('fracture', 'NN')] 
[('', 'NN')] 
[('theamplitude', 'NN')] 
[('wave', 'NN')] 
[('transmitted', 'VBN')] 
[('across', 'IN')] 
[('discontinuity', 'NN')] 
[('reduced', 'VBN')] 
[('', 'NN')] 
[('measuring', 'VBG')] 
[('reradiated', 'VBN')] 
[('wave', 'NN')] 
[('', 'NN')] 
[('transmission', 'NN')] 
[('loss', 'NN')] 
[('discontinuity', 'NN')] 
[('measured', 'VBN')] 
[('', 'NN')] 
[('general', 'JJ')] 
[('description', 'NN')] 
[('apparatus', 'NN')] 
[('method', 'NN')] 
[('used', 'VBN')] 
